account_id,customer_id,account_type,account_number,ifsc_routing_code,currency,current_balance,available_balance,credit_limit,interest_rate_pct,account_status,opened_date,last_transaction_date,overdraft_allowed,joint_account,bank_name,branch_code
ACC0000001,CUST000177,SAVINGS,5546908217,BANK4984,USD,7291.64,7049.8,,2.21,ACTIVE,2018-12-20,2026-02-01,False,False,Wells Fargo,BR120
ACC0000002,CUST005853,INVESTMENT,5137567461,BANK3821,USD,23541.15,21259.81,,,ACTIVE,2025-03-03,2025-07-05,False,False,Wells Fargo,BR853
ACC0000003,CUST003854,SAVINGS,3782844821,BANK6484,USD,29349.24,26106.84,,2.0,DORMANT,2020-06-24,2023-12-01,False,False,Citibank,BR764
ACC0000004,CUST007363,FIXED_DEPOSIT,2539781669,BANK1481,INR,12543.74,12009.28,,1.34,ACTIVE,2022-06-23,2023-07-20,True,False,Axis Bank,BR443
ACC0000005,CUST009012,FIXED_DEPOSIT,2709693613,BANK6074,GBP,0.0,0.0,,3.32,ACTIVE,2020-04-20,2022-10-17,True,False,ICICI Bank,BR674
ACC0000006,CUST007079,CHECKING,6208852191,BANK9810,USD,20106.88,18550.3,,,DORMANT,2025-03-30,2025-04-03,False,True,Bank of America,BR998
ACC0000007,CUST003523,INVESTMENT,7693160585,BANK1728,USD,0.0,0.0,,,ACTIVE,2009-10-20,2012-09-03,False,True,Citibank,BR315
ACC0000008,CUST009512,INVESTMENT,2201166089,BANK2170,EUR,21283.67,20139.88,,,ACTIVE,2016-09-28,2018-11-17,True,False,HDFC Bank,BR917
ACC0000009,CUST009501,SAVINGS,1416563163,BANK5077,GBP,9383.57,9369.56,,0.88,ACTIVE,2023-05-19,2023-11-16,False,False,Chase,BR310
ACC0000010,CUST009449,CHECKING,4211207504,BANK1593,USD,10657.03,9653.01,,,CLOSED,2024-06-15,2025-09-09,False,False,Bank of America,BR235
